org,teamproject,repo,url,last-push-date,pipeline-count,compressed-repo-size-in-bytes,most-active-contributor,pr-count,commits-past-year,ghorg,ghrepo
contosodevopstest,sample-repo-testing,sample1,https://dev.azure.com/contosodevopstest/sample-repo-testing/_git/sample1,10/13/2025 0:00,1,"9,349",System Administrator (admin@MngEnvMCAP267305.onmicrosoft.com),0,9,ADO2GH-Migration,sample1
contosodevopstest,sample-repo-testing,sample2,https://dev.azure.com/contosodevopstest/sample-repo-testing/_git/sample2,10/13/2025 0:00,1,"8,464",System Administrator (admin@MngEnvMCAP267305.onmicrosoft.com),0,4,ADO2GH-Migration,sample2
contosodevopstest,sample-repo-testing,sample3,https://dev.azure.com/contosodevopstest/sample-repo-testing/_git/sample3,10/13/2025 0:00,1,"9,916",System Administrator (admin@MngEnvMCAP267305.onmicrosoft.com),0,4,ADO2GH-Migration,sample3
contosodevopstest,sample-repo-testing,sample4,https://dev.azure.com/contosodevopstest/sample-repo-testing/_git/sample4,10/13/2025 0:00,1,"4,038",System Administrator (admin@MngEnvMCAP267305.onmicrosoft.com),0,4,ADO2GH-Migration,sample4
contosodevopstest,sample-repo-testing,sample5,https://dev.azure.com/contosodevopstest/sample-repo-testing/_git/sample5,10/13/2025 0:00,1,"4,717",System Administrator (admin@MngEnvMCAP267305.onmicrosoft.com),0,4,ADO2GH-Migration,sample5
contosodevopstest,sample-repo-testing,sample-repo-testing,https://dev.azure.com/contosodevopstest/sample-repo-testing/_git/sample-repo-testing,01-Jan-0001 12:00 AM,0,0,N/A,0,0,ADO2GH-Migration,sample-repo-testing
contosodevopstest,Server Migration,Azure Sentinel Template,https://dev.azure.com/contosodevopstest/Server%20Migration/_git/Azure%20Sentinel%20Template,01-Jan-0001 12:00 AM,0,0,N/A,0,0,ADO2GH-Migration,AzureSentinelTemplate
contosodevopstest,PartsUnlimited-YAML,PartsUnlimited,https://dev.azure.com/contosodevopstest/PartsUnlimited-YAML/_git/PartsUnlimited,10/13/2025 0:00,1,"9,100,966",System Administrator (admin@MngEnvMCAP267305.onmicrosoft.com),0,1,ADO2GH-Migration,PartsUnlimited
contosodevopstest,ContosoAir,ContosoAir,https://dev.azure.com/contosodevopstest/ContosoAir/_git/ContosoAir,10/16/2024 0:00,0,745,N/A,0,0,ADO2GH-Migration,ContosoAir
contosodevopstest,Proj_P1,Proj_P1,https://dev.azure.com/contosodevopstest/Proj_P1/_git/Proj_P1,10/22/2024 0:00,1,"758,499",N/A,0,0,ADO2GH-Migration,Proj_P1
contosodevopstest,StarReads,StarReads,https://dev.azure.com/contosodevopstest/StarReads/_git/StarReads,9/26/2025 0:00,0,"34,086",System Administrator (admin@MngEnvMCAP267305.onmicrosoft.com),0,6,ADO2GH-Migration,StarReads
contosodevopstest,Youtube Clone,Youtube Clone,https://dev.azure.com/contosodevopstest/Youtube%20Clone/_git/Youtube%20Clone,01-Jan-0001 12:00 AM,0,0,N/A,0,0,ADO2GH-Migration,Youtube-Clone
contosodevopstest,Azure Migration - IaC,IaC Migration,https://dev.azure.com/contosodevopstest/Azure%20Migration%20-%20IaC/_git/IaC%20Migration,8/25/2025 0:00,3,"138,832",System Administrator (admin@MngEnvMCAP267305.onmicrosoft.com),0,0,ADO2GH-Migration,IaC-Migration
contosodevopstest,Tailwind Traders,TailwindTraders-Backend,https://dev.azure.com/contosodevopstest/Tailwind%20Traders/_git/TailwindTraders-Backend,10/15/2024 0:00,1,"29,899,822",N/A,0,0,ADO2GH-Migration,TailwindTraders-Backend
contosodevopstest,Tailwind Traders,TailwindTraders-Website,https://dev.azure.com/contosodevopstest/Tailwind%20Traders/_git/TailwindTraders-Website,10/15/2024 0:00,1,"16,489,733",N/A,0,0,ADO2GH-Migration,TailwindTraders-Website
