"JobId","AdoOrganization","AdoTeamProject","AdoRepository","GitHubOrganization","GitHubRepository","MigrationId","GitHubRepoUrl","Status","StartTime","EndTime","Duration","ErrorMessage"
"Job-1","contosodevopstest","sample-repo-testing","sample1","ADO2GH-Migration","sample1","RM_kgDaACQ1MDUxOWI4NC1hZWMwLTQ4ZDctYjZlMS1mYjJhZjNhOWZmNjY","https://github.com/ADO2GH-Migration/sample1","Success","10/26/2025 1:40:10 AM","10/26/2025 1:43:18 AM","00:03:08.4751957",
"Job-2","contosodevopstest","sample-repo-testing","sample2","ADO2GH-Migration","sample2","RM_kgDaACQyMzgwYTM0Yi03MWJjLTRlNWItYTc1Mi1lYzNhNjNkNTc0NDE","https://github.com/ADO2GH-Migration/sample2","Success","10/26/2025 1:40:16 AM","10/26/2025 1:43:20 AM","00:03:04.0790572",
"Job-3","contosodevopstest","sample-repo-testing","sample3","ADO2GH-Migration","sample3","RM_kgDaACQwNGRlOWNhYS0zMDFkLTRmZmQtODJmNC0xOGYyMDY2YWYxN2I","https://github.com/ADO2GH-Migration/sample3","Success","10/26/2025 1:40:21 AM","10/26/2025 1:43:24 AM","00:03:02.5440361",
"Job-4","contosodevopstest","sample-repo-testing","sample4","ADO2GH-Migration","sample4","RM_kgDaACRkOTc5MDBiZC1jMDMyLTQwMmQtOGZjYS00YjFlNmQ4ZTQ0Y2Y","https://github.com/ADO2GH-Migration/sample4","Success","10/26/2025 1:40:26 AM","10/26/2025 1:43:30 AM","00:03:03.7507203",
"Job-5","contosodevopstest","sample-repo-testing","sample5","ADO2GH-Migration","sample5","RM_kgDaACRkNzlmMjk5NS1lMmUzLTQzODgtOWQ1ZS02OWI5NWZiODBiMDY","https://github.com/ADO2GH-Migration/sample5","Success","10/26/2025 1:40:31 AM","10/26/2025 1:43:33 AM","00:03:02.2134814",
"Job-7","contosodevopstest","Server Migration","Azure Sentinel Template","ADO2GH-Migration","Azure-Sentinel-Template","RM_kgDaACQ3NzFhNGEyZC1jMzc3LTRkNDEtYTczZC1hY2YxOGRmMTExYTY","https://github.com/ADO2GH-Migration/Azure-Sentinel-Template","Success","10/26/2025 1:43:31 AM","10/26/2025 1:45:34 AM","00:02:02.2114006",
"Job-6","contosodevopstest","sample-repo-testing","sample-repo-testing","ADO2GH-Migration","sample-repo-testing","RM_kgDaACQ2NzM2NDhhNy00YWM4LTRjZjctYjRlYS02MTMzZWFkZTY3ZTM","https://github.com/ADO2GH-Migration/sample-repo-testing","Success","10/26/2025 1:43:26 AM","10/26/2025 1:46:37 AM","00:03:10.2405723",
"Job-8","contosodevopstest","PartsUnlimited-YAML","PartsUnlimited","ADO2GH-Migration","PartsUnlimited","RM_kgDaACQxMGEwN2MwNi0wNmMzLTRkY2YtODEzOS1mMTk3NTNlYzc3Mjc","https://github.com/ADO2GH-Migration/PartsUnlimited","Success","10/26/2025 1:43:36 AM","10/26/2025 1:46:40 AM","00:03:03.7982087",
"Job-9","contosodevopstest","ContosoAir","ContosoAir","ADO2GH-Migration","ContosoAir","RM_kgDaACRlYTUxNzAxYi0wYWU3LTRkODUtODU1OC0zYzVhN2ZmNzRkZTM","https://github.com/ADO2GH-Migration/ContosoAir","Success","10/26/2025 1:43:41 AM","10/26/2025 1:46:44 AM","00:03:02.3372407",
"Job-10","contosodevopstest","Proj_P1","Proj_P1","ADO2GH-Migration","Proj_P1","RM_kgDaACRlZTA4Yzg2Zi0zYzkzLTRmN2MtYjA1YS04NTZlMTZiM2ViMzg","https://github.com/ADO2GH-Migration/Proj_P1","Success","10/26/2025 1:43:46 AM","10/26/2025 1:46:50 AM","00:03:03.9281162",
"Job-11","contosodevopstest","StarReads","StarReads","ADO2GH-Migration","StarReads","RM_kgDaACRmYjg5OTc2Yy1kN2I3LTQ4NjMtYWU3OS1lYzJhNjgxZWZiN2M","https://github.com/ADO2GH-Migration/StarReads","Success","10/26/2025 1:45:42 AM","10/26/2025 1:48:48 AM","00:03:05.7131027",
"Job-12","contosodevopstest","Youtube Clone","Youtube Clone","ADO2GH-Migration","Youtube-Clone","RM_kgDaACQ2NjhiZDExOC02ODhlLTQ1NzktODA3ZC03YjY3OGU1YTQ5Yzc","https://github.com/ADO2GH-Migration/Youtube-Clone","Success","10/26/2025 1:46:47 AM","10/26/2025 1:50:50 AM","00:04:03.0962986",
"Job-14","contosodevopstest","Tailwind Traders","TailwindTraders-Backend","ADO2GH-Migration","TailwindTraders-Backend","RM_kgDaACQ2NzY3ZmZkZS03OGRhLTQ1YWEtOWI4My03N2FlMDM5NTMwZjA","https://github.com/ADO2GH-Migration/TailwindTraders-Backend","Success","10/26/2025 1:47:02 AM","10/26/2025 1:51:06 AM","00:04:03.4343227",
"Job-15","contosodevopstest","Tailwind Traders","TailwindTraders-Website","ADO2GH-Migration","TailwindTraders-Website","RM_kgDaACQwZTI4YzU5YS1mYTI2LTQ2ZTMtYmU1OS03YjNiZmMzNDg2NGE","https://github.com/ADO2GH-Migration/TailwindTraders-Website","Success","10/26/2025 1:47:07 AM","10/26/2025 1:51:14 AM","00:04:05.9639867",
"Job-13","contosodevopstest","Azure Migration - IaC","IaC Migration","ADO2GH-Migration","IaC-Migration","RM_kgDaACQxNmU3MTEyOC03OTcyLTQzNzQtOWNmNi05NTY4YmUxYjdlOGI","https://github.com/ADO2GH-Migration/IaC-Migration","Success","10/26/2025 1:46:56 AM","10/26/2025 1:52:02 AM","00:05:05.3161952",
